product_id,product_name,category_id,subcategory_id,brand_id,unit_cost,unit_price,warranty_years,product_segment
57,Hisense 55A6H-55A53FXVT 55'' 4K Smart TV,1,1,3,280.00,341.22,2,Mid Tier
58,Samsung TU50CU7105KXXC 50'' Led TV,1,1,2,280.00,329.81,2,Mid Tier
59,Hisense 58A6H-58A53FXVT 58'' 4K Smart TV,1,1,3,300.00,349.57,2,Mid Tier
60,Samsung TU55CU7105KXXC 55'' Led TV,1,1,2,300.00,362.65,2,Mid Tier
61,Hisense 65A6H/65A53FXVT 65'' 4K Smart TV,1,1,3,390.00,438.00,2,Mid Tier
62,Samsung TU65CU7105KXXC 65'' Led TV,1,1,2,370.00,429.01,2,Mid Tier
63,LG 65 Inch Class OLED evo AI C5 4K Smart TV 2025,1,1,8,1400.00,1588.72,2,High End
64,LG 77 Inch Class OLED evo AI G5 4K Smart TV 2025 with Supplied Wall Mount,1,1,8,3500.00,4003.50,2,Flagship
65,LG 55 Inch Class OLED B4 4K Smart TV 2024,1,1,8,1100.00,1258.92,2,High End
66,LG 55 Inch Class UHD Series 4K UHD TV with webOS 24,1,1,8,350.00,422.02,2,Mid Tier
67,Baseus Meteorite Shimmer Wireless Display Adapter,1,2,9,30.00,36.34,1,Low
68,Baseus Cafule 4khdmi Adapter Cable 5m Black Cadklf-H01,1,2,9,10.00,12.11,1,Low
69,Targus Laser Presentation Remote (EU) AMP13EU,1,2,10,20.00,23.55,1,Low
70,Fracarro LP45F UHF Antenna,1,2,11,20.00,22.84,1,Low
71,Philips SWV5510 1.5M HDMI 2.0 Cable 4K,1,2,1,8.00,9.56,1,Low
72,HP 15 Core i5-1334U Natural Silver B1XD1EA,2,3,12,640.00,762.66,1,Mid Tier
73,Acer Aspire Lite 16 AL16-52P-59PP (Light Silver) AL16-52P-510H,2,3,13,590.00,711.38,1,Mid Tier
74,DELL 15 Platinum Silver Intel Core 3 100U,2,3,14,500.00,578.98,1,Mid Tier
75,DELL 15 Platinum Silver Intel Core i7-1355U,2,3,14,730.00,866.82,1,High End
76,DELL 15 Platinum Silver Intel Core i5-1334U,2,3,14,580.00,729.14,1,Mid Tier
77,Acer Aspire Lite 14 AAL14-31P-C3LL Pure Silver,2,3,13,320.00,377.82,1,Mid Tier
78,HP PAVILION X360 2-IN-1 Core i5 1335U,2,3,12,790.00,980.50,1,High End
79,Acer Aspire Go Intel Core i5-13420H,2,3,13,530.00,685.01,1,Mid Tier
80,Acer Aspire Spin 14 Core 7 Processor 150U,2,3,13,920.00,1125.56,1,High End
81,Acer Nitro V 15 Gaming Core i5-13420H ANV15-51-55AC,2,3,13,940.00,1086.73,1,High End
82,Acer Aspire Spin 14 Core Ultra 5 Processor 115U,2,3,13,750.00,946.01,1,High End
83,Huawei Matebook D16,2,3,15,620.00,797.30,1,Mid Tier
84,Acer Nitro V 15 Gaming Core i5-13420H ANV15-51-55AC,2,3,13,940.00,1182.48,1,High End
85,Acer Aspire Spin 14 Core Ultra 5 Processor 115U,2,3,13,750.00,926.50,1,High End
86,Acer Aspire 3 Intel Core i7-1255U,2,3,13,650.00,812.22,1,High End
87,HP VICTUS Ryzen 5-7640HS Mica Silver,2,3,12,1200.00,1535.96,1,High End
88,LENOVO IdeaPad S100 Intel® Celeron® N4020 82V700KAUE,2,3,16,250.00,298.76,1,Entry Level
89,Acer Swift 14'' Intel Core i5-1335U,2,3,13,620.00,786.79,1,Mid Tier
90,Acer Extensa Laptop Core i3 1215U Grey,2,3,13,370.00,433.30,1,Mid Tier
91,Acer Extensa Laptop Core i5 1235U Grey,2,3,13,470.00,567.77,1,Mid Tier
92,"Asus ExpertBook P1511CJA-I58256G2R Grey Notebook 15.6"" WXGA HD",2,3,17,280.00,358.95,1,Mid Tier
93,Huawei MATEBOOK D 15 Core i7 MYSTIC SILVER,2,3,15,330.00,383.93,1,Mid Tier
94,HP Victus RYZ 7-784OHS (886P7EA/BH5),2,3,12,780.00,897.60,1,High End
95,HP Pavilion Laptop 15-eg3146nia Core™ i5 1335U,2,3,12,370.00,437.42,1,Mid Tier
96,Acer Aspire Laptop Celeron N4500 Silver,2,3,13,250.00,313.43,1,Mid Tier
97,Acer Aspire Laptop Core i7 1165G7 Silver,2,3,13,540.00,676.18,1,Mid Tier
98,HP 15 Core i7-1355U Natural Silver B0BP1EA,2,3,12,780.00,981.67,1,High End
99,HP 15 Core i3-1315U Natural Silver B1AL2EA,2,3,12,450.00,528.12,1,Mid Tier
100,HUAWEI D 14 i3 3-1215U/8G/512GB,2,3,15,540.00,626.67,1,Mid Tier
101,HP VICTUS Ryzen 5-7640HS Mica Silver,2,3,12,1200.00,1544.39,1,High End
102,HP VICTUS Core i7-14650HX Blue,2,3,12,1350.00,1638.60,1,High End
103,ASUS ExpertBook Intel® Core™ i3-1315U C433TA-M3832S0C,2,3,17,200.00,250.43,1,Entry Level
104,Acer Aspire Lite 14 Laptop - Core i3 N300 AL14-31P-37XQ,2,3,13,390.00,483.34,1,Mid Tier
105,Acer Extensa Laptop Core i3 1215U Grey,2,3,13,370.00,467.32,1,Mid Tier
106,Acer Extensa Laptop Core i5 1235U Grey,2,3,13,470.00,581.74,1,Mid Tier
107,Acer Aspire Laptop Celeron N4500 Silver,2,3,13,250.00,297.51,1,Entry Level
108,Acer Aspire Laptop Core i7 1165G7 Silver,2,3,13,540.00,673.04,1,Mid Tier
109,Acer Nitro V 15 Gaming Core i7-13620H ANV15-51-79HH,2,3,13,1060.00,1346.86,1,High End
110,Dell Inspiron 3530 Core i7 Black,2,3,14,780.00,988.70,1,High End
111,HP 15 Core i3-1315U Natural Silver B1AL2EA,2,3,12,450.00,528.72,1,Mid Tier
112,HP 15 Core i7-1355U Natural Silver B0BP1EA,2,3,12,780.00,926.86,1,High End
113,Dell Inspiron 3520 Silver Core i5 11 Gen,2,3,14,400.00,465.33,1,Mid Tier
114,Dell Inspiron 3530 CORE i5 BLACK,2,3,14,560.00,710.40,1,Mid Tier
115,HP VICTUS Core i7-14650HX Blue,2,3,12,1350.00,1661.87,1,High End
116,Dell Inspiron 3530 CORE i3 BLACK,2,3,14,470.00,579.26,1,Mid Tier
117,LENOVO IdeaPad S100 Intel® Celeron® N4020 82V700KAUE,2,3,16,250.00,297.70,1,Entry Level
118,Dell Inspiron 3520 Intel Core i3 1215U Silver,2,3,14,330.00,415.61,1,Mid Tier
119,"Microsoft Surface Laptop SE 11.6"" Silver",2,3,18,90.00,107.43,1,Low
120,Acer Nitro An515 Intel Core i5-11400H,2,3,13,760.00,976.44,1,High End
121,VAIO Business Ultrabook SE14 Core i7 Gray,2,3,19,480.00,609.82,1,Mid Tier
122,Acer Nitro V 15 Gaming Core i7-13620H ANV15-51-79HH,2,3,13,1060.00,1355.15,1,High End
123,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 32GB RAM, 2TB",2,3,8,2800.00,3639.65,1,Flagship
124,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 16GB RAM, 1TB",2,3,8,1700.00,1994.70,1,High End
125,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 9, 32GB RAM, 2TB",2,3,8,3200.00,4116.82,1,Flagship
126,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 32GB RAM, 2TB",2,3,8,2900.00,3698.65,1,Flagship
127,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 9, 32GB RAM, 2TB",2,3,8,3300.00,4005.12,1,Flagship
128,"LG gram Pro 16 Inch OLED Thin and Lightweight Laptop, Intel Ultra 7 processor, Windows 11 Home,",2,3,8,1900.00,2257.50,1,Flagship
129,LENOVO IdeaPad S300 Intel Core i5-1235U 82RK00RNUE,2,3,16,480.00,564.21,1,Mid Tier
130,Asus Notebook Expertbook I5 8GB 512GB,2,3,17,370.00,453.54,1,Mid Tier
131,ASUS EXPERTCENTER P500MV i7 + VA24EHF MONITOR,2,4,17,930.00,1112.39,1,High End
132,ASUS EXPERTCENTER P500MV i5 + VA24EHF MONITOR,2,4,17,780.00,998.14,1,High End
133,"LENOVO D32Q-20 32"" QHD MONITOR",2,5,16,310.00,369.95,2,Mid Tier
134,"LENOVO LEGION R45W-30 45"" DQHD PRO GAMING MONITOR",2,5,16,930.00,1140.30,2,High End
135,"LENOVO LEGION R27i-90 27"" FHD 180Hz GAMING MONITOR",2,5,16,230.00,277.14,2,Entry Level
136,"LENOVO LEGION R27FC-30 27"" FHD CURVED MONITOR",2,5,16,280.00,356.84,2,Mid Tier
137,"SAMSUNG ESSENTIAL 24"" S3 S30GD FHD MONITOR",2,5,2,100.00,115.86,2,Low
138,"SAMSUNG ODYSSEY G90XF 27"" 3D 4K MONITOR",2,5,2,1140.00,1372.96,2,High End
139,"Samsung 27"" Business monitor",2,5,2,160.00,207.00,2,Entry Level
140,"Samsung 28"" Odyssey G7 UHD monitor",2,5,2,500.00,608.36,2,Mid Tier
141,"Samsung Business Monitor 24"" Ips",2,5,2,140.00,180.51,2,Entry Level
142,"MSI G255F Gaming Monitor 24.5"" FHD 180Hz",2,5,20,160.00,184.11,2,Entry Level
143,Xiaomi Desktop Monitor 27'' EU,2,5,6,140.00,162.41,2,Entry Level
144,"COOLER MASTER MONITOR GM27-FFS 27"" FHD 165Hz",2,5,21,200.00,254.10,2,Entry Level
145,"COOLER MASTER MONITOR GM34-CWQ2 34"" 2K 180Hz",2,5,21,470.00,550.72,2,Mid Tier
146,Baseus Metal Gleam Series 7-Port Hub Space Grey (Hdmi4k@60hz-1+Usb3.0+Pd+Sd/Tf) B00030708811-00,2,6,9,30.00,37.92,1,Low
147,Baseus Slim Laptop Kickstand (2pcs) Grey Luzc000013,2,6,9,10.00,11.58,1,Low
148,Baseus Slim Laptop Kickstand (2pcs) Silver Luzc000012,2,6,9,10.00,12.35,1,Low
149,Cooler Master CM100 Gaming Mouse,2,6,21,20.00,24.80,1,Low
150,Baseus K01a Wireless Tri-Mode Keyboard Gray B00955503833-00,2,6,9,30.00,36.62,1,Low
151,Baseus Lite Series 4-Port USB-A Hub Adapter Black (USB-A To USB 3.0*4) 25cm Wkqx030001,2,6,9,10.00,12.06,1,Low
152,COOLER MASTER ERGOSTAND IV,2,6,21,30.00,38.62,1,Low
153,HP USB Type C® Travel Hub G2 - Black,2,6,12,40.00,47.03,1,Low
154,COOLER MASTER MM311 WIRELESS MOUSE BLACK,2,6,21,40.00,48.54,1,Low
155,Baseus F01a Wireless Mouse Frosted Gray B01055502833-00,2,6,9,10.00,11.64,1,Low
156,Baseus Working Station Multi-Func Type-C Hub Adapt Cahub-Bg0g,2,6,9,110.00,142.35,1,Low
157,Baseus I-Wok Series Usb Light Pro Black Asymmetric Light Source Screen Hanging Dgiwk-P01,2,6,9,20.00,25.47,1,Low
158,Baseus K01b Wireless Tri-Mode Keyboard Gray B00955504833-00,2,6,9,30.00,36.78,1,Low
159,COOLER MASTER MP511 GAMING MOUSE PAD XXL,2,6,21,30.00,37.98,1,Low
160,Baseus Ingenuity OTG Adaptor Type-C To USB - A 3.1 Blue Zjjq000003,2,6,9,15.00,17.59,1,Low
161,Samsung WIS09ABGN Wireless Adaptor,2,6,2,30.00,37.87,1,Low
162,Coolermaster Mousepad Bloody X-Thin B-088S,2,6,21,15.00,17.80,1,Low
163,Coolermaster Mousepad Bloody Gaming RGB MP-80N,2,6,21,20.00,25.47,1,Low
164,Coolermaster Mousepad Bloody Gaming RGB MP-50RS,2,6,21,10.00,11.54,1,Low
165,RICO USB-C Hub 8-in-1,2,6,45,20.00,24.17,1,Low
166,Logitech M350S Pebble 2 Bluetooth Mouse Graphite,2,6,22,20.00,25.51,1,Low
167,Logitech MK120 US INTL Keyboard and Mouse Combo,2,6,22,10.00,11.94,1,Low
168,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Blue,2,6,22,20.00,23.43,1,Low
169,Logitech G402 Hyperion Fury FPS Gaming Mouse,2,6,22,30.00,36.29,1,Low
170,Logitech G502 Hero High Performance Gaming Mouse,2,6,22,50.00,64.39,1,Low
171,Logitech M171 Wireless Mouse - Blue,2,6,22,10.00,12.24,1,Low
172,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Black,2,6,22,20.00,23.44,1,Low
173,Targus W620 Wireless 4-Key Blue Trace Mouse Black AMW50EU,2,6,10,10.00,12.87,1,Low
174,HP 230 Wireless Keyboard English - Black,2,6,12,20.00,24.50,1,Low
175,COOLER MASTER MM711 LITE RGB GAMING MOUSE,2,6,21,20.00,24.42,1,Low
176,ORICO Type-C Multifunction Docking Station,2,6,23,20.00,23.82,1,Low
177,COOLER MASTER MM731 HYBRID GAMING MOUSE,2,6,21,60.00,74.43,1,Low
178,COOLER MASTER NOTEPAL U2 PLUS V2 DUAL FAN,2,6,21,20.00,25.78,1,Low
179,COOLER MASTER NOTEPAL U3 PLUS,2,6,21,20.00,25.74,1,Low
180,COOLER MASTER MP511 GAMING MOUSE PAD L,2,6,21,20.00,24.62,1,Low
181,COOLER MASTER MP511 GAMING MOUSE PAD XL,2,6,21,20.00,23.07,1,Low
182,Mi Dual Mode Wireless Mouse Silent Edition (Black),2,6,6,10.00,12.66,1,Low
183,ORICO USB-C Hub 8-in-1,2,6,23,20.00,24.91,1,Low
184,Logitech M350S Pebble 2 Bluetooth Mouse Graphite,2,6,22,20.00,23.28,1,Low
185,Logitech MK120 US INTL Keyboard and Mouse Combo,2,6,22,10.00,12.79,1,Low
186,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Blue,2,6,22,20.00,23.96,1,Low
187,Logitech G402 Hyperion Fury FPS Gaming Mouse,2,6,22,30.00,34.79,1,Low
188,Logitech G502 Hero High Performance Gaming Mouse,2,6,22,50.00,59.26,1,Low
189,COOLER MASTER MP511 GAMING MOUSE PAD XL,2,6,21,20.00,25.30,1,Low
190,BenQ Portable Smart Projector GV30,2,7,24,360.00,458.39,2,Mid Tier
191,BenQ Home Cinema Smart PROJECTOR W4000i 4K,2,7,24,1940.00,2322.98,2,Flagship
192,BenQ Portable Smart Projector GV11,2,7,24,370.00,475.47,2,Mid Tier
193,Sony DAV-TZ140 DVD Home Theatre 5.1,3,8,5,60.00,81.48,2,Low
194,Sony SA-D20 Home Theatre 2.1 channel 60W RMS power,3,8,5,80.00,101.11,2,Low
195,"Philips TAB5309/10 Soundbar 2.1, 240W",3,9,1,120.00,164.39,1,Entry Level
196,Samsung HW-S800B Sound Bar,3,9,2,390.00,512.86,1,Mid Tier
197,"Philips TAFB1/98 Soundbar 7.1.2, 620W",3,9,1,780.00,1046.07,1,High End
198,Baseus Aequr DS10 Mini Soundbar Cluster Black A20054402111-00,3,9,9,30.00,42.81,1,Low
199,Samsung HW-C400/ZA Sound Bar,3,9,2,80.00,109.73,1,Low
200,Sony HT-S40R 600W Real 5.1 Ch Dolby Sound Bar,3,9,5,340.00,439.45,1,Mid Tier
201,Sony HT-S400 Sound bar 2.1 channel 330W,3,9,5,280.00,355.35,1,Mid Tier
202,Sony HTS20R Sound Bar,3,9,5,250.00,351.02,1,Mid Tier
203,Sony HT-S500RF 1000W Real 5.1 Ch Dolby Sound Bar,3,9,5,420.00,534.22,1,Mid Tier
204,"Philips TAB7908/10 Soundbar 5.1.2 , 740W",3,9,1,310.00,396.97,1,Mid Tier
205,"Philips TAB4208/98 Soundbar 2.0 HDMI ARC, 60W",3,9,1,80.00,115.99,1,Low
206,Sonos Beam Gen2 Compact Smart Soundbar - Black (S14),3,9,46,420.00,538.15,1,Mid Tier
207,Samsung HW-C450/ZA Sound Bar,3,9,2,120.00,157.46,1,Entry Level
208,Hisense AX3100G 3.1 Channel 280W Sound Bar With Subwoofer,3,9,3,190.00,273.28,1,Entry Level
209,Hisense AX5100G 5.1 Channel 340W Sound Bar With Subwoofer,3,9,3,220.00,303.01,1,Mid Tier
210,Samsung HW-A450 / XA AV Receiver,3,9,2,120.00,155.99,1,Entry Level
211,Sonos Arc Premium Smart Soundbar - White (S19),3,9,46,790.00,1047.46,1,High End
212,Sonos Arc Premium Smart Soundbar - Black (S19),3,9,46,790.00,1115.05,1,High End
213,Hisense HS212 Sound Bar,3,9,3,110.00,153.68,1,Entry Level
214,Sonos Ray Optical/WiFi Smart Soundbar White (S36),3,9,46,200.00,274.96,1,Entry Level
215,Blaupunkt SBW-300W Wireless Soundbar System,3,9,26,80.00,100.02,1,Low
216,Pioneer SBX-301 Sound Bar,3,9,27,170.00,214.66,1,Entry Level
217,Samsung HW-T450/XA AV Receiver,3,9,2,120.00,150.69,1,Entry Level
218,Samsung HW-B450/XA AV Receiver,3,9,2,110.00,147.87,1,Low
219,Pioneer VREC-H120Sc Car Dashcam,4,10,27,90.00,118.69,1,Low
220,Canyon CND-DVR10 Car Video Recorder,4,10,29,60.00,78.34,1,Low
221,Canyon CND-DVR40 Car Video Recorder,4,10,29,70.00,89.08,1,Low
222,Canon EOS 250D (24 MP) Essential Travel Kit,4,10,30,640.00,913.14,1,High End
223,Nikon Z30 Kit 16-50 Mirrorless Camera,4,10,31,730.00,975.46,1,High End
224,Canon EOS 2000D (24 MP) Double IS/DC,4,10,30,530.00,738.59,1,Mid Tier
225,Nikon Z 50 Nikkor Z DX 16-50mm,4,10,31,900.00,1231.51,1,High End
226,Insta360 ONE RS 1-Inch 360 Edition,4,10,28,620.00,811.99,1,High End
227,Pioneer VREC-H520Dc Car Dashcam,4,10,27,140.00,184.16,1,Entry Level
228,Canon EOS R50 BK + RTS 18-45 S EU26 Mirrorless,4,10,30,680.00,909.83,1,High End
229,Canon EOS R100 + RF-S 18-45 IS STM EU26 Mirrorless,4,10,30,530.00,760.06,1,Mid Tier
230,Canon EOS R100 + RF-S 18-45s + RTS 55-210s EU26,4,10,30,730.00,976.89,1,High End
231,Insta360 GO 3 Carry Case,4,11,28,20.00,28.66,1,Low
232,Insta360 GO 3 Lens Guard,4,11,28,10.00,13.34,1,Low
233,Baseus Heyo Camera Detector Black Fmhy000001,4,11,9,10.00,13.87,1,Low
234,Insta360 GO 3 Fetch Stick,4,11,28,10.00,12.82,1,Low
235,Insta360 GO 3 ND Filter Set,4,11,28,40.00,50.75,1,Low
236,Insta360 Dash Cam Mount,4,11,28,30.00,43.22,1,Low
237,Insta360 GO 3 Magnet Pendant,4,11,28,10.00,12.86,1,Low
238,Insta360 X3 Sticky Lens Guards,4,11,28,10.00,13.56,1,Low
239,Insta360 X3 Horizontal Action Mount,4,11,28,10.00,13.22,1,Low
240,Saramonic Cam Mic,4,11,32,40.00,54.41,1,Low
241,Insta360 X3 Lens Cap,4,11,28,40.00,52.41,1,Low
242,Insta360 GO 3 Dive Case,4,11,28,40.00,57.01,1,Low
243,Insta360 ONE RS Lens Cap For 360 Lens,4,11,28,10.00,14.19,1,Low
244,Insta360 ONE RS Dive Case For 4K Boost Lens,4,11,28,50.00,67.93,1,Low
245,Saramonic Wireless Microphone Blink5 B2,4,11,32,110.00,146.85,1,Low
246,Insta360 ONE RS/R Sticky Lens Guards for 360 Lens,4,11,28,20.00,26.72,1,Low
247,Insta360 X3 Battery,4,11,28,20.00,25.04,1,Low
248,Insta360 X3 Fast Charge Hub,4,11,28,30.00,37.82,1,Low
249,Google Nest Hub 2nd Generation Chalk,5,12,33,90.00,118.01,2,Low
250,Xiaomi Outdoor Camera AW300,5,13,6,60.00,86.21,1,Low
251,EZVIZ CB8 Battery-Powered Pan & Tilt,5,13,25,120.00,168.79,1,Entry Level
252,Mi Wireless Outdoor Security Camera 1080p Set,5,13,6,90.00,113.20,1,Low
253,Xiaomi Outdoor Camera AW200,5,13,6,40.00,51.35,1,Low
254,EZVIZ H6c Pro Pan & Tilt Smart Home Camera,5,13,25,30.00,39.38,1,Low
255,EZVIZ H3c Wi-Fi Smart Home Camera (5mp),5,13,25,40.00,52.43,1,Low
256,EZVIZ H9c Dual Dual-Lens Pan & Tilt (4 MP outdoor),5,13,25,50.00,64.44,1,Low
257,EZVIZ Smart Security Light + Camera 4mp CS-LC3,5,13,25,50.00,69.02,1,Low
258,Baseus T2 Pro Smart Device Tracker White Fmtp000002,5,14,9,10.00,14.21,1,Low
259,Xiaomi Smart Sensor Set,5,14,6,60.00,85.96,1,Low
260,Baseus Intelligent T2 Anti-Loss Device White Zlfdqt2-02,5,14,9,10.00,13.52,1,Low
261,EZVIZ Wirefree Video Door Bell With Chime,5,14,25,50.00,65.68,1,Low
262,SAMSUNG GALAXY A17 4G 128GB BLACK,6,15,2,140.00,157.70,1,Entry Level
263,Samsung Galaxy A17 5G Gray,6,15,2,150.00,174.46,1,Entry Level
264,Samsung Galaxy A16 Black,6,15,2,160.00,189.25,1,Entry Level
265,Samsung Galaxy A07 128GB Light Black,6,15,2,100.00,108.24,1,Low
266,Samsung Galaxy S25 FE Dark Blue,6,15,2,530.00,589.10,1,Mid Tier
267,Samsung Galaxy S25 FE Jetblack,6,15,2,530.00,593.31,1,Mid Tier
268,Samsung Galaxy A17 5G Black,6,15,2,150.00,165.46,1,Entry Level
269,Huawei Nova 14 Pro Blue,6,15,15,450.00,491.13,1,Mid Tier
270,Samsung Galaxy A05 64GB Green,6,15,2,70.00,78.92,1,Low
271,Samsung Galaxy S25 Ultra Gray 12GB/512GB,6,15,2,1200.00,1415.99,1,High End
272,Samsung Galaxy A06 64GB Black,6,15,2,80.00,94.50,1,Low
273,Samsung Galaxy S25 Plus Mint,6,15,2,840.00,979.28,1,High End
274,Samsung Galaxy S25 Ultra Titanium Silverblue 12GB/512GB,6,15,2,1200.00,1325.42,1,High End
275,SAMSUNG GALAXY Z FLIP 7 BLUE 12GB+256GB,6,15,2,830.00,949.47,1,High End
276,Samsung Galaxy Z Fold 5 Black 512GB,6,15,2,930.00,1041.65,1,High End
277,Huawei Nova Y63 Silver,6,15,15,120.00,140.20,1,Low
278,Huawei Nova Y73 Blue,6,15,15,140.00,165.59,1,Entry Level
279,Huawei Nova Y63 Black,6,15,15,120.00,136.08,1,Low
280,Samsung Galaxy A25 Yellow,6,15,2,170.00,184.59,1,Entry Level
281,SAMSUNG GALAXY Z FOLD 7 BLACK 12GB+256GB,6,15,2,1450.00,1688.62,1,High End
